"","SDG","Estimate","Std.Error","Demographic","Year","Data","District","Direction","Label","Order","SDG_Achievement"
"1","mal.nourished.children",64.12,0.0526675609916501,"TOTAL","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,35.88
"2","mal.nourished.children",75.66,0.058534612151321,"MALE","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,24.34
"3","mal.nourished.children",53.7,0.166741239863437,"FEMALE","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,46.3
"4","mal.nourished.children",64.12,0.0526675609916501,"RURAL","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,35.88
"5","mal.nourished.children",75,0,"POOREST","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,25
"6","mal.nourished.children",65.87,0.0714605313700443,"POORER","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,34.13
"7","mal.nourished.children",61.65,0.472849071209219,"MIDDLE","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,38.35
"8","mal.nourished.children",0,0,"RICHER","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,100
"9","mal.nourished.children",0,0,"RICHEST","2010","DHS","BUGESERA",1,"Under 5 Malnutrition",3,100
"10","underweight",2.61,0.0250782712990412,"TOTAL","2010","DHS","BUGESERA",1,"Underweight",4,97.39
"11","underweight",0,0,"FEMALE","2010","DHS","BUGESERA",1,"Underweight",4,100
"12","underweight",6.93,0.0617607890136393,"MALE","2010","DHS","BUGESERA",1,"Underweight",4,93.07
"13","underweight",2.61,0.0250782712990412,"RURAL","2010","DHS","BUGESERA",1,"Underweight",4,97.39
"14","underweight",0,0,"POOREST","2010","DHS","BUGESERA",1,"Underweight",4,100
"15","underweight",8.5,0.0692891052543671,"POORER","2010","DHS","BUGESERA",1,"Underweight",4,91.5
"16","underweight",0,0,"MIDDLE","2010","DHS","BUGESERA",1,"Underweight",4,100
"17","underweight",0,0,"RICHER","2010","DHS","BUGESERA",1,"Underweight",4,100
"18","underweight",0,0,"RICHEST","2010","DHS","BUGESERA",1,"Underweight",4,100
"19","overweight",0,0,"TOTAL","2010","DHS","BUGESERA",1,"Overweight",5,100
"20","overweight",0,0,"FEMALE","2010","DHS","BUGESERA",1,"Overweight",5,100
"21","overweight",0,0,"MALE","2010","DHS","BUGESERA",1,"Overweight",5,100
"22","overweight",0,0,"RURAL","2010","DHS","BUGESERA",1,"Overweight",5,100
"23","overweight",0,0,"POOREST","2010","DHS","BUGESERA",1,"Overweight",5,100
"24","overweight",0,0,"POORER","2010","DHS","BUGESERA",1,"Overweight",5,100
"25","overweight",0,0,"MIDDLE","2010","DHS","BUGESERA",1,"Overweight",5,100
"26","overweight",0,0,"RICHER","2010","DHS","BUGESERA",1,"Overweight",5,100
"27","overweight",0,0,"RICHEST","2010","DHS","BUGESERA",1,"Overweight",5,100
"28","bednet",80.54,0.00346754361134761,"TOTAL","2010","DHS","BUGESERA",2,"Use Bednets",11,80.54
"29","bednet",82.55,0.00202431807619201,"MALE","2010","DHS","BUGESERA",2,"Use Bednets",11,82.55
"30","bednet",78.88,0.00649888244790642,"FEMALE","2010","DHS","BUGESERA",2,"Use Bednets",11,78.88
"31","bednet",80.54,0.00346754361134761,"RURAL","2010","DHS","BUGESERA",2,"Use Bednets",11,80.54
"32","bednet",77.07,0.103948312447186,"POOREST","2010","DHS","BUGESERA",2,"Use Bednets",11,77.07
"33","bednet",79.99,0.054179979399848,"POORER","2010","DHS","BUGESERA",2,"Use Bednets",11,79.99
"34","bednet",93.41,0.0767897339142408,"MIDDLE","2010","DHS","BUGESERA",2,"Use Bednets",11,93.41
"35","bednet",66.21,0.0423165594665281,"RICHER","2010","DHS","BUGESERA",2,"Use Bednets",11,66.21
"36","bednet",100,0,"RICHEST","2010","DHS","BUGESERA",2,"Use Bednets",11,100
"37","one.or.more.antenatal",100,1.93353324943466e-17,"TOTAL","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"38","one.or.more.antenatal",100,0,"MALE","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"39","one.or.more.antenatal",100,0,"FEMALE","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"40","one.or.more.antenatal",100,1.93353324943466e-17,"RURAL","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"41","one.or.more.antenatal",100,6.95509288451575e-17,"POOREST","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"42","one.or.more.antenatal",100,0,"POORER","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"43","one.or.more.antenatal",100,0,"MIDDLE","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"44","one.or.more.antenatal",100,0,"RICHER","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"45","one.or.more.antenatal",100,0,"RICHEST","2010","DHS","BUGESERA",2,"One or More Antenatal Visits",15,100
"46","four.antenatal",48.56,0.129866420400505,"TOTAL","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,48.56
"47","four.antenatal",56.01,0.0213808138804727,"MALE","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,56.01
"48","four.antenatal",39.42,0.322214695702231,"FEMALE","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,39.42
"49","four.antenatal",48.56,0.129866420400505,"RURAL","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,48.56
"50","four.antenatal",20.96,0.10849089786177,"POOREST","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,20.96
"51","four.antenatal",47.78,0.206520762951716,"POORER","2010","DHS","BUGESERA",2,"Four Antenatal Visits",16,47.78
