"","X1","SDG","Estimate","Std.Error","Demographic","Year","Data","District","Direction","Label","Order","SDG_Achievement"
"1",1,"mal.nourished.children",64.12,0.0526675609916501,"TOTAL",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,35.88
"2",2,"mal.nourished.children",75.66,0.058534612151321,"MALE",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,24.34
"3",3,"mal.nourished.children",53.7,0.166741239863437,"FEMALE",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,46.3
"4",4,"mal.nourished.children",64.12,0.0526675609916501,"RURAL",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,35.88
"5",5,"mal.nourished.children",75,0,"POOREST",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,25
"6",6,"mal.nourished.children",65.87,0.0714605313700443,"POORER",2010,"DHS","BUGESERA",1,"Under 5 Malnutrition",3,34.13
"7",10,"underweight",2.61,0.0250782712990412,"TOTAL",2010,"DHS","BUGESERA",1,"Underweight",4,97.39
"8",12,"underweight",6.93,0.0617607890136393,"MALE",2010,"DHS","BUGESERA",1,"Underweight",4,93.07
"9",13,"underweight",2.61,0.0250782712990412,"RURAL",2010,"DHS","BUGESERA",1,"Underweight",4,97.39
"10",15,"underweight",8.5,0.0692891052543671,"POORER",2010,"DHS","BUGESERA",1,"Underweight",4,91.5
"11",28,"bednet",80.54,0.00346754361134761,"TOTAL",2010,"DHS","BUGESERA",2,"Use Bednets",11,80.54
"12",29,"bednet",82.55,0.00202431807619201,"MALE",2010,"DHS","BUGESERA",2,"Use Bednets",11,82.55
"13",30,"bednet",78.88,0.00649888244790642,"FEMALE",2010,"DHS","BUGESERA",2,"Use Bednets",11,78.88
"14",31,"bednet",80.54,0.00346754361134761,"RURAL",2010,"DHS","BUGESERA",2,"Use Bednets",11,80.54
"15",32,"bednet",77.07,0.103948312447186,"POOREST",2010,"DHS","BUGESERA",2,"Use Bednets",11,77.07
"16",33,"bednet",79.99,0.054179979399848,"POORER",2010,"DHS","BUGESERA",2,"Use Bednets",11,79.99
"17",34,"bednet",93.41,0.0767897339142408,"MIDDLE",2010,"DHS","BUGESERA",2,"Use Bednets",11,93.41
"18",35,"bednet",66.21,0.0423165594665281,"RICHER",2010,"DHS","BUGESERA",2,"Use Bednets",11,66.21
"19",46,"four.antenatal",48.56,0.129866420400505,"TOTAL",2010,"DHS","BUGESERA",2,"Four Antenatal Visits",16,48.56
"20",47,"four.antenatal",56.01,0.0213808138804727,"MALE",2010,"DHS","BUGESERA",2,"Four Antenatal Visits",16,56.01
"21",49,"four.antenatal",48.56,0.129866420400505,"RURAL",2010,"DHS","BUGESERA",2,"Four Antenatal Visits",16,48.56
"22",50,"four.antenatal",20.96,0.10849089786177,"POOREST",2010,"DHS","BUGESERA",2,"Four Antenatal Visits",16,20.96
"23",52,"four.antenatal",66.67,2.77555756156289e-17,"MIDDLE",2010,"DHS","BUGESERA",2,"Four Antenatal Visits",16,66.67
"24",55,"met.need.contraceptive",52.81,0.123521592615656,"TOTAL",2010,"DHS","BUGESERA",2,"Met Need for Contraceptive",17,52.81
"25",56,"met.need.contraceptive",52.81,0.123521592615656,"RURAL",2010,"DHS","BUGESERA",2,"Met Need for Contraceptive",17,52.81
